winter.ae,5,11-10-2021 23:54:18,อร่อยมาก หวานธรรมชาติ ชอบสุดๆ,5
bmo.bmo,5,12-10-2021 00:06:45,อร่อยจริง แต่แพงไปหน่อยนะ,4
finn.hmhm,2,12-10-2021 00:15:47,ของดีจริง<comma> แก้วหนามาก หล่นไปหลายรอบยังไม่ตกเลย,5
finn.hmhm,3,12-10-2021 00:16:44,มันดูดไม่จริง หลอกลวง,1
finn.hmhm,6,12-10-2021 17:04:09,แย่มาก สินค้ากระจอก,1
Boyhasstyle,14,17-10-2021 22:05:34,ทำไมทาแล้วปากดำ,1
Boyhasstyle,10,17-10-2021 22:10:50,ไล่ผีไม่เห็นไปเลย ลูกประคำปลอมป้ะคับ?,2
Eriemfast,15,17-10-2021 22:12:10,น้อนน่ารักไม่ดื้อเลยค่าาาาา,5
Eriemfast,5,17-10-2021 22:13:20,ไม่อร่อยเลยรสชาติเหมือนนำ้แตงโม,2
Eriemfast,8,17-10-2021 22:14:29,ใส่แล้วผู้มองทั้งงานเลย ดีมว๊ากกกก,5
Eriemfast,9,17-10-2021 22:15:39,ใส่แล้วหายใจไม่ออกเลย แต่อยากสวยก็ต้องทนค่ะ!!!,3
Alansheerer,16,17-10-2021 22:21:01,ลูกผมเอาไปยิงแม่แต่แม่มันไม่ตายผมนี่เซ็งเลย,2
Alansheerer,7,17-10-2021 22:29:11,ร้านนี้ให้ของแถมเยอะมากครับผมซื้อมาสัปดาห์นึงได้ลูกเจี๊ยบมาอีก3ตัว,5
Alansheerer,6,17-10-2021 22:30:21,ไม้นี้ดีมากครับผมใช้แล้วไม่มีแมงวันสักตัวในบ้านเลย,5
Alansheerer,3,17-10-2021 22:36:14,ลูกผมเอาไปดูดทั้งวันเลยดีจริงๆ,5
Alansheerer,1,17-10-2021 22:36:52,ลูกผมใส่แล้วเหมือนช่างทาสีไม่เห็นเหมือนนักวิทยาศาสตร์เลย,1
lnwAsutin,10,17-10-2021 22:58:09,ที่บ้านชอบมากเลย,4
lnwAsutin,13,17-10-2021 22:59:03,กระเป๋าหนังทนมากเลยใช้มา3เดือนแล้วยังไม่ขาดเลยครับ,4
lnwAsutin,2,17-10-2021 22:59:38,เอาไปทำไอติมหลอดเกร๋มากกก,4
somyingkiller,19,17-10-2021 23:00:59,มาไม่ทัน9.9เสียดายมากแต่ของดีคุ้มราคาค่ะ,5
somyingkiller,18,17-10-2021 23:01:43,ติดแล้วสวยจริงไม่จกตาค่ะ,5
somyingkiller,8,17-10-2021 23:02:29,ใส่กับเพื่อนแล้วเหมือนแก๊งค์แม่ชีเลย,2
somyingkiller,9,17-10-2021 23:03:45,เราสูง170ใส่แล้วสั้นมากเลยใครซื้อก็ดูความยาวดีๆนะคะแต่โดยรวมเนื้อผ้าดีค่ะ,4
somyingkiller,4,17-10-2021 23:04:47,หน้ามืดกดซื้อมา5อันกินมาปีนึงแล้วยังไม่หมดเลยไม่อร่อยด้วย,1
winter.ae,14,17-10-2021 23:21:06,ดำจริงอีก1เสียง,1
kanisont,17,17-10-2021 23:24:30,ผมลืมอ่านรายละเอียดเผลอกินไปแล้วทำไงดี,3
nuttapong,8,21-10-2021 16:16:09,คุ้มค่า คุ้มราคามาก,4
